name_ar,name_en,category_ar,category_en,unit_price_egp,wholesale_price_egp,unit_ar,unit_en,vat_rate_percent,egs_code,gpc_code,active
نسكافيه جولد خشن إسباني,Nescafe Gold Coarse (Spanish),نسكافيه,Nescafe,1080,900,كجم,kg,,,,1
نسكافيه جولد ناعم إسباني,Nescafe Gold Fine (Spanish),نسكافيه,Nescafe,840,700,كجم,kg,,,,1
نسكافيه بلاك خشن إسباني,Nescafe Black Coarse (Spanish),نسكافيه,Nescafe,780,650,كجم,kg,,,,1
نسكافيه بلاك ناعم إسباني,Nescafe Black Fine (Spanish),نسكافيه,Nescafe,660,550,كجم,kg,,,,1
نسكافيه بلاك خشن هندي,Nescafe Black Coarse (Indian),نسكافيه,Nescafe,720,650,كجم,kg,,,,1
نسكافيه بلاك ناعم هندي,Nescafe Black Fine (Indian),نسكافيه,Nescafe,680,600,كجم,kg,,,,1
كوفي ميكس 2×1,Coffee Mix 2-in-1,كوفي ميكس وكابتشينو,Coffee Mix & Cappuccino,250,220,كجم,kg,,,,1
كابتشينو 5 طعم,Cappuccino 5 Flavours,كوفي ميكس وكابتشينو,Coffee Mix & Cappuccino,240,200,كجم,kg,,,,1
نسكافيه بالسكر 3×1,Nescafe 3-in-1 with Sugar,كوفي ميكس وكابتشينو,Coffee Mix & Cappuccino,220,180,كجم,kg,,,,1
لبن كامل الدسم نيوزيلندي,Full Cream Milk Powder (New Zealand),الألبان,Dairy,340,280,كجم,kg,,,,1
لبن كامل الدسم أمريكي,Full Cream Milk Powder (American),الألبان,Dairy,240,200,كجم,kg,,,,1
لبن منزوع الدسم بولندي نمرة 1,Skimmed Milk Powder (Polish No.1),الألبان,Dairy,180,150,كجم,kg,,,,1
كاكاو خام إسباني سايب,Unsweetened Cocoa Powder (Spanish),خامات الحلويات,Confectionery Ingredients,480,400,كجم,kg,,,,1
كاكاو سكر إسباني,Sweetened Cocoa (Spanish),خامات الحلويات,Confectionery Ingredients,240,200,كجم,kg,,,,1
شوكولاتة فليكس كورن,Chocolate Corn Flakes,خامات الحلويات,Confectionery Ingredients,150,120,كجم,kg,,,,1
مبيض قهوة إسباني,Coffee Creamer (Spanish),مبيض وفوم,Creamer & Foam,220,180,كجم,kg,,,,1
فوم رغوة إسباني,Milk Foam Powder (Spanish),مبيض وفوم,Creamer & Foam,240,200,كجم,kg,,,,1
سحلب مكسرات,Sahlab Mix with Nuts,مشروبات بودرة,Powdered Drinks,190,160,كجم,kg,,,,1
سحلب سادة,Sahlab Mix (Plain),مشروبات بودرة,Powdered Drinks,150,120,كجم,kg,,,,1
حلبة محوجة,Fenugreek Drink Mix,مشروبات بودرة,Powdered Drinks,200,160,كجم,kg,,,,1
مغات محوج,Moghat Drink Mix,مشروبات بودرة,Powdered Drinks,300,250,كجم,kg,,,,1
تمر هندي,Tamarind,مشروبات باردة,Cold Drinks,100,80,كجم,kg,,,,1
سوبيا جودة عالية,Sobia Drink Mix (Premium),مشروبات باردة,Cold Drinks,160,140,كجم,kg,,,,1
